,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
47,Mack Calvin\calvima01,1980,1980,1,48,772,100,227,1,11,105,117,13,84,134,27,0,57,72,306,.441,.091,.897,16.1,6.4,1.8,2.8
48,Antoine Carr\carran01,1995,1998,4,306,5755,926,1903,1,10,454,570,254,791,263,87,249,288,916,2307,.487,.100,.796,18.8,7.5,2.6,0.9
49,DeMarre Carroll\carrode01,2012,2013,2,86,1438,186,423,27,89,89,114,115,238,76,70,25,43,155,488,.440,.303,.781,16.7,5.7,2.8,0.9
50,Bobby Cattage\cattabo01,1982,1982,1,49,337,60,135,0,2,30,41,22,73,7,7,0,18,58,150,.444,.000,.732,6.9,3.1,1.5,0.1
51,Tom Chambers\chambto01,1994,1995,2,161,3078,524,1175,18,69,330,416,153,539,152,65,62,141,405,1396,.446,.261,.793,19.1,8.7,3.3,0.9
52,Calbert Cheaney\cheanca01,2003,2003,1,81,2351,325,651,10,25,40,69,73,284,163,65,13,108,225,700,.499,.400,.580,29.0,8.6,3.5,2.0
53,Pete Chilcutt\chilcpe01,2000,2000,1,26,224,22,62,1,10,2,2,15,43,10,5,4,9,31,47,.355,.100,1.000,8.6,1.8,1.7,0.4
54,Patrick Christopher\chrispa01,2015,2015,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,,7.3,1.5,1.5,0.0
55,Ian Clark\clarkia01,2014,2015,2,46,333,41,111,20,56,10,12,7,32,25,14,4,21,36,112,.369,.357,.833,7.2,2.4,0.7,0.5
56,Keon Clark\clarkke01,2004,2004,1,2,27,2,6,0,0,0,0,1,7,1,1,0,0,1,4,.333,,,13.5,2.0,3.5,0.5
57,E.C. Coleman\colemec01,1975,1977,3,221,6395,759,1675,,,257,367,462,1516,295,200,99,,784,1775,.453,,.700,28.9,8.0,6.9,1.3
58,Jarron Collins\collija03,2002,2009,8,480,8100,664,1448,0,5,714,1011,609,1493,411,132,94,317,1245,2042,.459,.000,.706,16.9,4.3,3.1,0.9
59,Jeff Cook\cookje01,1986,1986,1,2,17,3,6,0,0,1,1,2,5,0,0,0,3,1,7,.500,,1.000,8.5,3.5,2.5,0.0
60,Jack Cooley\cooleja01,2015,2015,1,16,87,9,22,0,0,9,21,10,25,1,6,3,3,23,27,.409,,.429,5.4,1.7,1.6,0.1
61,Wayne Cooper\coopewa01,1981,1981,1,71,1420,213,471,1,3,62,90,166,440,52,18,51,77,219,489,.452,.333,.689,20.0,6.9,6.2,0.7
62,Tyrone Corbin\corbity01,1992,1994,3,233,6567,899,1842,6,37,427,510,483,1311,402,277,70,271,626,2231,.488,.162,.837,28.2,9.6,5.6,1.7
63,Bryce Cotton\cottobr01,2015,2015,1,15,159,29,69,7,20,15,18,3,18,15,4,0,12,6,80,.420,.350,.833,10.6,5.3,1.2,1.0
64,Mel Counts\countme01,1975,1976,2,105,1740,254,586,,,102,134,129,541,220,65,51,,270,610,.433,,.761,16.6,5.8,5.2,2.1
65,Marcus Cousin\cousima01,2011,2011,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,,,4.5,1.0,0.8,0.0
66,John Crotty\crottjo01,1993,2002,5,237,2641,295,675,59,150,229,280,71,248,512,90,8,197,279,878,.437,.393,.818,11.1,3.7,1.0,2.2
67,Corey Crowder\crowdco01,1992,1992,1,51,328,43,112,13,30,15,18,16,41,17,7,2,13,35,114,.384,.433,.833,6.4,2.2,0.8,0.3
68,Jae Crowder\crowdja01,2018,2019,2,31,866,127,328,56,174,63,81,23,128,48,26,9,32,74,373,.387,.322,.778,27.9,12.0,4.1,1.5
69,Pat Cummings\cummipa01,1991,1991,1,4,26,4,6,0,0,7,10,3,5,0,0,0,2,8,15,.667,,.700,6.5,3.8,1.3,0.0
70,William Cunningham\cunniwi01,1998,1998,1,6,38,4,9,0,0,0,0,4,8,1,2,0,0,10,8,.444,,,6.3,1.3,1.3,0.2
71,Dell Curry\curryde01,1987,1987,1,67,636,139,326,17,60,30,38,30,78,58,27,4,44,86,325,.426,.283,.789,9.5,4.9,1.2,0.9
72,Adrian Dantley\dantlad01,1980,1986,7,461,17899,4908,8737,5,27,3814,4663,1169,2845,1702,502,62,1560,1310,13635,.562,.185,.818,38.8,29.6,6.2,3.7
73,Brad Davis\davisbr01,1980,1980,1,13,225,33,56,0,1,10,12,4,15,45,10,1,11,21,76,.589,.000,.833,17.3,5.8,1.2,3.5
74,Darryl Dawkins\dawkida01,1988,1988,1,4,26,1,7,0,0,4,12,2,5,1,0,1,4,10,6,.143,,.333,6.5,1.5,1.3,0.3
