,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
94,Terrel Harris\harrite01,2012,2013,2,29,347,31,91,8,40,20,29,22,60,28,9,2,29,37,90,.341,.200,.690,12.0,3.1,2.1,1.0
95,Udonis Haslem\hasleud01,2004,2019,16,845,21448,2628,5358,4,45,1226,1623,1603,5712,726,422,249,802,2029,6486,.490,.089,.755,25.4,7.7,6.8,0.9
96,Scott Hastings\hastisc01,1989,1989,1,75,1206,143,328,9,28,91,107,72,231,59,32,42,68,203,386,.436,.321,.850,16.1,5.1,3.1,0.8
97,Luther Head\headlu01,2009,2009,1,10,176,16,43,6,16,5,8,3,25,23,11,1,9,22,43,.372,.375,.625,17.6,4.3,2.5,2.3
98,Tyrone Hill\hillty01,2004,2004,1,5,38,3,5,0,0,3,4,5,8,0,0,1,2,10,9,.600,,.750,7.6,1.8,1.6,0.0
99,Robert Hite\hitero01,2007,2007,1,12,136,19,60,5,23,8,12,4,16,8,3,2,6,8,51,.317,.217,.667,11.3,4.3,1.3,0.7
100,Eddie House\houseed01,2001,2011,4,225,3783,613,1536,177,507,135,160,48,345,324,132,9,190,297,1538,.399,.349,.844,16.8,6.8,1.5,1.4
101,Juwan Howard\howarju01,2011,2013,3,92,833,82,199,0,0,38,46,54,177,39,14,5,49,88,202,.412,,.826,9.1,2.2,1.9,0.4
102,Zydrunas Ilgauskas\ilgauzy01,2011,2011,1,72,1145,162,319,0,1,36,46,108,287,26,23,58,52,185,360,.508,.000,.783,15.9,5.0,4.0,0.4
103,Jim Jackson\jacksji01,2002,2002,1,55,1825,238,538,38,81,75,87,54,290,140,42,14,106,145,589,.442,.469,.862,33.2,10.7,5.3,2.5
104,Luke Jackson\jackslu02,2008,2008,1,14,228,26,80,11,30,16,23,7,33,17,8,0,9,22,79,.325,.367,.696,16.3,5.6,2.4,1.2
105,LeBron James\jamesle01,2011,2014,4,294,11168,2911,5361,365,988,1732,2285,352,2225,1980,489,193,993,495,7919,.543,.369,.758,38.0,26.9,7.6,6.7
106,Mike James\jamesmi01,2002,2003,2,93,1841,233,628,75,249,108,149,28,163,265,70,6,121,193,649,.371,.301,.725,19.8,7.0,1.8,2.8
107,Tim James\jamesti01,2000,2000,1,4,23,5,14,0,0,1,3,3,4,2,0,3,2,1,11,.357,,.333,5.8,2.8,1.0,0.5
108,Harold Jamison\jamisha01,2000,2000,1,12,74,7,20,0,0,4,18,16,21,4,2,1,4,17,18,.350,,.222,6.2,1.5,1.8,0.3
109,Alexander Johnson\johnsal01,2008,2008,1,43,549,61,125,0,0,57,83,32,94,13,13,10,42,80,179,.488,,.687,12.8,4.2,2.2,0.3
110,James Johnson\johnsja01,2017,2018,2,149,4028,677,1383,144,441,265,377,127,734,556,146,137,312,389,1763,.490,.327,.703,27.0,11.8,4.9,3.7
111,Joe Johnson\johnsjo02,2016,2016,1,24,769,130,251,35,84,26,34,15,68,86,21,2,43,46,321,.518,.417,.765,32.0,13.4,2.8,3.6
112,Ken Johnson\johnske03,2003,2003,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,,.333,9.8,2.0,2.0,0.0
113,Tyler Johnson\johnsty01,2015,2019,5,217,5794,865,1975,259,706,388,499,128,737,525,206,103,251,437,2377,.438,.367,.778,26.7,11.0,3.4,2.4
114,Bobby Jones\jonesbo02,2008,2008,1,6,143,17,32,6,15,8,13,8,24,5,2,0,7,18,48,.531,.400,.615,23.8,8.0,4.0,0.8
115,Damon Jones\jonesda01,2005,2005,1,82,2576,331,726,225,521,68,86,14,231,350,44,5,98,121,955,.456,.432,.791,31.4,11.6,2.8,4.3
116,Derrick Jones\jonesde02,2018,2019,2,18,283,31,77,6,25,18,29,24,44,10,5,11,10,35,86,.403,.240,.621,15.7,4.8,2.4,0.6
117,Eddie Jones\jonesed02,2001,2007,6,387,14097,2141,5004,712,1870,1200,1445,264,1738,1152,515,246,620,1125,6194,.428,.381,.830,36.4,16.0,4.5,3.0
118,James Jones\jonesja02,2009,2014,6,266,3805,353,893,283,694,143,176,47,361,121,74,56,61,299,1132,.395,.408,.813,14.3,4.3,1.4,0.5
119,Jason Kapono\kaponja01,2006,2007,2,118,2432,357,740,129,263,94,107,38,251,118,45,5,90,224,937,.482,.490,.879,20.6,7.9,2.1,1.0
120,Alec Kessler\kesslal01,1991,1994,4,210,2937,425,998,10,24,224,301,258,751,81,39,71,192,451,1084,.426,.417,.744,14.0,5.2,3.6,0.4
121,Stacey King\kingst01,1996,1996,1,15,156,17,36,0,0,4,8,9,23,2,7,2,18,39,38,.472,,.500,10.4,2.5,1.5,0.1
122,Christian Laettner\laettch01,2005,2005,1,49,739,107,184,1,7,45,59,36,131,41,32,15,29,78,260,.582,.143,.763,15.1,5.3,2.7,0.8
123,Sean Lampley\lamplse01,2003,2003,1,35,487,56,129,0,4,57,82,26,83,31,7,3,25,43,169,.434,.000,.695,13.9,4.8,2.4,0.9
124,Antonio Lang\langan02,1998,1998,1,6,29,3,5,0,0,6,8,2,5,1,2,0,4,3,12,.600,,.750,4.8,2.0,0.8,0.2
125,Stephane Lasme\lasmest01,2008,2008,1,15,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,,.594,20.2,5.5,3.5,0.2
126,Voshon Lenard\lenarvo01,1996,2000,5,249,6679,989,2318,473,1184,353,444,163,730,518,158,51,318,563,2804,.427,.399,.795,26.8,11.3,2.9,2.1
127,Rashard Lewis\lewisra02,2013,2014,2,115,1763,201,485,97,265,54,78,43,231,87,74,22,68,157,553,.414,.366,.692,15.3,4.8,2.0,0.8
128,DeAndre Liggins\liggide01,2014,2014,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1.000,,,1.0,2.0,1.0,0.0
129,Shaun Livingston\livinsh01,2009,2009,1,4,41,3,8,0,0,3,4,0,2,4,2,0,3,4,9,.375,,.750,10.3,2.3,0.5,1.0
130,Brad Lohaus\lohaubr01,1995,1995,1,61,730,97,231,63,155,10,15,28,102,43,20,25,29,85,267,.420,.406,.667,12.0,4.4,1.7,0.7
131,Grant Long\longgr01,1989,1995,7,472,14859,2011,4206,14,68,1437,1870,1268,3281,1002,666,226,943,1699,5473,.478,.206,.768,31.5,11.6,7.0,2.1
132,Sam Mack\macksa01,2002,2002,1,12,159,14,49,7,28,5,7,2,14,4,5,1,7,17,40,.286,.250,.714,13.3,3.3,1.2,0.3
133,Don MacLean\macledo01,2001,2001,1,8,76,10,20,2,2,9,12,7,18,4,5,1,10,9,31,.500,1.000,.750,9.5,3.9,2.3,0.5
134,Jamaal Magloire\magloja01,2009,2011,3,109,1226,106,209,0,0,59,137,140,404,26,24,38,54,206,271,.507,,.431,11.2,2.5,3.7,0.2
135,Dan Majerle\majerda01,1997,2001,5,278,8430,700,1765,414,1184,205,269,161,1137,717,302,68,267,568,2019,.397,.350,.762,30.3,7.3,4.1,2.6
136,Jeff Malone\malonje01,1996,1996,1,7,103,13,33,0,0,5,6,0,8,7,3,0,3,6,31,.394,,.833,14.7,4.4,1.1,1.0
137,Shawn Marion\mariosh01,2008,2009,2,58,2118,311,655,16,71,96,127,157,544,117,87,60,93,125,734,.475,.225,.756,36.5,12.7,9.4,2.0
138,Sean Marks\marksse01,2002,2003,2,44,542,60,147,0,1,30,49,27,110,11,10,16,33,77,150,.408,.000,.612,12.3,3.4,2.5,0.3
139,Jamal Mashburn\mashbja01,1997,2000,4,180,6601,1046,2399,210,576,533,691,201,942,616,185,38,405,527,2835,.436,.365,.771,36.7,15.8,5.2,3.4
140,Anthony Mason\masonan01,2001,2001,1,80,3254,460,954,0,0,370,474,169,770,248,80,25,179,231,1290,.482,,.781,40.7,16.1,9.6,3.1
141,Roger Mason\masonro01,2014,2014,1,25,260,25,67,17,48,7,7,1,22,19,6,1,9,26,74,.373,.354,1.000,10.4,3.0,0.9,0.8
142,Rodney McGruder\mcgruro01,2017,2019,3,100,2403,248,573,100,276,58,92,108,315,157,57,24,66,176,654,.433,.362,.630,24.0,6.5,3.2,1.6
143,Josh McRoberts\mcrobjo01,2015,2017,3,81,1272,127,319,33,99,42,62,52,224,164,40,14,75,140,329,.398,.333,.677,15.7,4.1,2.8,2.0
144,Jordan Mickey\mickejo01,2018,2018,1,23,284,39,82,2,16,13,19,18,81,9,6,10,18,36,93,.476,.125,.684,12.3,4.0,3.5,0.4
145,Mike Miller\millemi01,2011,2013,3,139,2490,272,642,169,410,33,50,78,469,192,55,12,106,209,746,.424,.412,.660,17.9,5.4,3.4,1.4
146,Terry Mills\millste01,1998,1999,2,51,811,84,214,27,85,26,35,37,156,39,20,9,48,132,221,.393,.318,.743,15.9,4.3,3.1,0.8
147,Harold Miner\minerha01,1993,1995,3,181,3612,669,1452,21,64,381,489,187,420,237,80,27,264,347,1740,.461,.328,.779,20.0,9.6,2.3,1.3
148,Todd Mitchell\mitchto01,1989,1989,1,22,320,41,88,0,0,36,60,17,47,20,15,2,29,49,118,.466,,.600,14.5,5.4,2.1,0.9
149,Jamario Moon\moonja01,2009,2009,1,26,689,72,157,27,73,13,15,10,116,25,21,16,12,48,184,.459,.370,.867,26.5,7.1,4.5,1.0
150,John Morton\mortojo01,1992,1992,1,21,216,33,81,2,15,24,29,3,19,27,12,1,24,20,92,.407,.133,.828,10.3,4.4,0.9,1.3
151,Alonzo Mourning\mournal01,1996,2008,11,593,17700,3445,6415,11,50,2558,3896,1505,4807,651,304,1625,1478,1960,9459,.537,.220,.657,29.8,16.0,8.1,1.1
152,Eric Murdock\murdoer01,1998,1998,1,82,1395,177,419,28,91,125,156,39,156,219,103,13,104,173,507,.422,.308,.801,17.0,6.2,1.9,2.7
153,Martin Muursepp\muursma01,1997,1997,1,10,27,5,14,1,4,6,14,2,5,3,0,1,3,3,17,.357,.250,.429,2.7,1.7,0.5,0.3
154,Pete Myers\myerspe01,1996,1996,1,39,639,62,160,11,42,49,76,21,73,97,14,11,56,75,184,.388,.262,.645,16.4,4.7,1.9,2.5
