,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
447,Andre Spencer\spencan01,1993,1993,1,3,15,0,3,0,0,0,0,0,1,0,2,0,2,3,0,.000,,,5.0,0.0,0.3,0.0
448,Tiago Splitter\splitti01,2016,2016,1,36,579,81,155,0,2,39,48,45,120,30,20,12,24,71,201,.523,.000,.813,16.1,5.6,3.3,0.8
449,Jerry Stackhouse\stackje01,2012,2012,1,30,273,37,100,13,38,21,23,6,23,14,10,3,13,12,108,.370,.342,.913,9.1,3.6,0.8,0.5
450,Jack Stephens\stephja01,1956,1956,1,72,2219,248,643,,,247,357,,377,207,,,,144,743,.386,,.692,30.8,10.3,5.2,2.9
451,DeShawn Stevenson\stevede01,2013,2013,1,56,1158,98,262,76,209,12,23,18,122,52,29,6,23,69,284,.374,.364,.522,20.7,5.1,2.2,0.9
452,Michael Stewart\stewami01,2005,2005,1,12,145,11,21,0,0,3,7,21,40,5,6,5,6,32,25,.524,,.429,12.1,2.1,3.3,0.4
453,Norm Stewart\stewano01,1957,1957,1,5,37,4,15,,,2,6,,5,2,,,,9,10,.267,,.333,7.4,2.0,1.0,0.4
454,Alex Stivrins\stivral01,1993,1993,1,5,15,4,9,0,1,0,0,2,5,0,0,1,0,0,8,.444,.000,,3.0,1.6,1.0,0.0
455,Salim Stoudamire\stoudsa01,2006,2008,3,157,2672,446,1097,167,456,201,228,22,214,164,55,10,158,240,1260,.407,.366,.882,17.0,8.0,1.4,1.0
456,Mark Strickland\stricma01,2002,2002,1,46,654,91,204,1,4,25,44,41,131,20,19,17,28,48,208,.446,.250,.568,14.2,4.5,2.8,0.4
457,Don Sunderlage\sundedo01,1954,1954,1,68,2232,254,748,,,252,337,,225,187,,,,263,760,.340,,.748,32.8,11.2,3.3,2.8
458,Bob Sura\surabo01,2004,2004,1,27,956,131,312,12,43,123,157,70,223,144,25,5,66,72,397,.420,.279,.783,35.4,14.7,8.3,5.3
459,Dick Surhoff\surhodi01,1954,1954,1,32,358,43,129,,,47,62,,69,23,,,,53,133,.333,,.758,11.2,4.2,2.2,0.7
460,Pape Sy\sypa01,2011,2011,1,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,.333,.000,1.000,7.0,2.3,1.0,0.7
461,Edy Tavares\tavarwa01,2016,2017,2,12,77,12,20,0,0,3,10,7,22,3,1,6,5,8,27,.600,,.300,6.4,2.3,1.8,0.3
462,Isaiah Taylor\taylois01,2018,2018,1,67,1167,163,390,20,80,99,141,22,94,206,34,10,84,116,445,.418,.250,.702,17.4,6.6,1.4,3.1
463,Jeff Teague\teaguje01,2010,2016,7,518,13518,2280,5092,420,1184,1311,1564,159,1114,2671,613,173,1133,954,6291,.448,.355,.838,26.1,12.1,2.2,5.2
464,Claude Terry\terrycl01,1977,1978,2,39,407,72,155,,,27,32,11,33,32,15,1,8,35,171,.465,,.844,10.4,4.4,0.8,0.8
465,Jason Terry\terryja01,2000,2004,5,403,14043,2356,5523,648,1767,1174,1390,192,1320,2230,588,65,1054,860,6534,.427,.367,.845,34.8,16.2,3.3,5.5
466,Reggie Theus\theusre01,1989,1989,1,82,2517,497,1067,17,58,285,335,86,242,387,108,16,194,236,1296,.466,.293,.851,30.7,15.8,3.0,4.7
467,Etan Thomas\thomaet01,2011,2011,1,13,82,10,21,0,0,12,15,6,23,2,1,4,5,11,32,.476,,.800,6.3,2.5,1.8,0.2
468,James Thomas\thomaja02,2005,2005,1,2,5,1,2,0,0,0,0,2,2,0,0,0,0,1,2,.500,,,2.5,1.0,1.0,0.0
469,John Thomas\thomajo02,2006,2006,1,11,66,3,7,0,0,3,4,3,10,1,2,0,4,10,9,.429,,.750,6.0,0.8,0.9,0.1
470,Dijon Thompson\thompdi01,2007,2007,1,6,50,6,15,0,2,5,6,3,8,2,0,0,1,2,17,.400,.000,.833,8.3,2.8,1.3,0.3
471,Rod Thorn\thornro01,1966,1967,2,113,2090,396,909,,,203,285,,269,199,,,,165,995,.436,,.712,18.5,8.8,2.4,1.8
472,Mike Todorovich\todormi01,1950,1951,2,117,,453,1451,,,442,615,,455,367,,,,380,1348,.312,,.719,,11.5,6.9,3.1
473,Ray Tolbert\tolbera01,1989,1989,1,50,341,40,94,0,0,23,37,31,88,16,13,13,35,55,103,.426,,.622,6.8,2.1,1.8,0.3
