,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
157,DaJuan Summers\summeda01,2012,2012,1,15,209,28,65,5,16,7,9,8,23,10,7,0,8,31,68,.431,.313,.778,13.9,4.5,1.5,0.7
158,Lance Thomas\thomala01,2012,2014,3,106,1318,112,241,0,1,97,125,95,248,32,21,14,40,160,321,.465,.000,.776,12.4,3.0,2.3,0.3
159,Hollis Thompson\thompho01,2017,2017,1,9,191,11,41,6,24,6,9,4,28,9,6,0,2,14,34,.268,.250,.667,21.2,3.8,3.1,1.0
160,Marcus Thornton\thornma01,2010,2011,2,119,2617,535,1217,152,406,194,243,97,342,157,77,15,113,177,1416,.440,.374,.798,22.0,11.9,2.9,1.3
161,Axel Toupane\toupaax01,2017,2017,1,2,41,5,8,1,3,0,0,0,1,0,1,1,0,5,11,.625,.333,,20.5,5.5,0.5,0.0
162,Robert Traylor\traylro01,2003,2004,2,140,1793,250,524,3,8,127,216,214,524,93,84,74,115,314,630,.477,.375,.588,12.8,4.5,3.7,0.7
163,Greivis Vasquez\vasqugr01,2012,2013,2,144,4391,663,1535,126,378,220,271,66,510,1063,126,14,395,316,1672,.432,.333,.812,30.5,11.6,3.5,7.4
164,Marcus Vinicius\vincima01,2007,2008,2,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,.457,.421,.556,6.6,1.9,0.7,0.3
165,Jackson Vroman\vromaja01,2005,2006,2,77,1054,102,249,0,3,65,112,92,248,44,34,28,78,172,269,.410,.000,.580,13.7,3.5,3.2,0.6
166,Hakim Warrick\warriha01,2013,2013,1,1,7,1,2,0,0,2,2,0,0,0,1,0,0,0,4,.500,,1.000,7.0,4.0,0.0,0.0
167,Darryl Watkins\watkida01,2012,2012,1,5,98,7,14,0,0,9,18,8,27,3,5,4,8,14,23,.500,,.500,19.6,4.6,5.4,0.6
168,Bonzi Wells\wellsbo01,2008,2008,1,22,438,77,157,4,12,35,53,21,71,17,24,8,27,44,193,.490,.333,.660,19.9,8.8,3.2,0.8
169,David Wesley\wesleda01,2003,2005,3,160,5645,893,2179,254,681,389,495,78,394,535,215,24,286,385,2429,.410,.373,.786,35.3,15.2,2.5,3.3
170,David West\westda01,2004,2011,8,530,17160,3476,7091,34,129,1704,2030,1110,3853,1042,396,435,931,1386,8690,.490,.264,.839,32.4,16.4,7.3,2.0
171,Aaron Williams\williaa01,2006,2006,1,34,692,81,157,0,0,35,52,59,166,16,13,18,25,110,197,.516,,.673,20.4,5.8,4.9,0.5
172,Elliot Williams\williel01,2015,2015,1,8,77,8,24,3,11,0,2,0,5,8,2,0,0,11,19,.333,.273,.000,9.6,2.4,0.6,1.0
173,Kenrich Williams\willike04,2019,2019,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0
174,Reggie Williams\willire02,2017,2017,1,6,79,8,23,5,11,6,7,2,6,4,3,0,0,2,27,.348,.455,.857,13.2,4.5,1.0,0.7
175,Shammond Williams\willish01,2004,2004,1,16,238,28,81,5,26,11,13,0,17,52,14,1,21,22,72,.346,.192,.846,14.9,4.5,1.1,3.3
176,Jeff Withey\witheje01,2014,2015,2,95,943,101,193,0,1,86,123,72,214,37,19,68,32,99,288,.523,.000,.699,9.9,3.0,2.3,0.4
177,Nate Wolters\woltena01,2015,2015,1,10,105,8,26,0,2,1,2,6,18,11,3,2,10,7,17,.308,.000,.500,10.5,1.7,1.8,1.1
178,Julian Wright\wrighju01,2008,2010,3,179,2283,315,635,14,51,75,123,137,413,124,93,49,121,137,719,.496,.275,.610,12.8,4.0,2.3,0.7
