,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
11,Toby Bailey\baileto01,1999,2000,2,73,698,92,226,3,15,54,78,50,126,43,22,6,35,79,241,.407,.200,.692,9.6,3.3,1.7,0.6
12,Marcus Banks\banksma01,2007,2008,2,69,813,128,305,30,94,60,76,13,58,85,31,11,56,108,346,.420,.319,.789,11.8,5.0,0.8,1.2
13,Mike Bantom\bantomi01,1974,1976,3,165,4289,740,1720,,,331,477,390,1095,325,114,96,,575,1811,.430,,.694,26.0,11.0,6.6,2.0
14,Leandro Barbosa\barbole01,2004,2017,9,553,13035,2401,5170,751,1904,890,1073,213,1239,1321,485,84,765,1159,6443,.464,.394,.829,23.6,11.7,2.2,2.4
15,Charles Barkley\barklch01,1993,1996,4,280,10171,2368,4723,238,792,1582,2107,881,3232,1219,444,212,807,765,6556,.501,.301,.751,36.3,23.4,11.5,4.4
16,Matt Barnes\barnema02,2009,2009,1,77,2082,285,674,117,341,101,136,79,421,212,52,26,130,209,788,.423,.343,.743,27.0,10.2,5.5,2.8
17,Andre Barrett\barrean01,2006,2006,1,2,21,3,7,0,1,3,3,1,3,2,0,0,1,1,9,.429,.000,1.000,10.5,4.5,1.5,1.0
18,Earl Barron\barroea01,2011,2015,2,28,326,24,90,2,4,18,32,30,68,9,10,6,16,58,68,.267,.500,.563,11.6,2.4,2.4,0.3
19,Kenny Battle\battlke01,1990,1991,2,75,992,131,256,1,6,75,111,65,177,53,54,17,49,119,338,.512,.167,.676,13.2,4.5,2.4,0.7
20,Michael Beasley\beaslmi01,2013,2013,1,75,1554,310,766,45,144,94,126,52,282,111,31,34,144,107,759,.405,.313,.746,20.7,10.1,3.8,1.5
21,William Bedford\bedfowi01,1987,1987,1,50,979,142,358,0,1,50,86,79,246,57,18,37,85,125,334,.397,.000,.581,19.6,6.7,4.9,1.1
22,Charlie Bell\bellch01,2002,2002,1,5,42,3,11,0,6,2,2,2,4,2,0,0,5,3,8,.273,.000,1.000,8.4,1.6,0.8,0.4
23,Raja Bell\bellra01,2006,2009,4,254,9234,1228,2810,622,1475,328,410,147,842,600,193,73,255,758,3406,.437,.422,.800,36.4,13.4,3.3,2.4
24,Dragan Bender\bendedr01,2017,2019,3,127,2649,244,646,146,424,43,62,63,466,153,32,75,145,241,677,.378,.344,.694,20.9,5.3,3.7,1.2
25,Mario Bennett\bennema01,1996,1996,1,19,230,29,64,0,1,27,42,21,49,6,11,11,11,46,85,.453,.000,.643,12.1,4.5,2.6,0.3
26,Ed Biedenbach\biedeed01,1969,1969,1,7,18,0,6,,,4,6,,2,3,,,,1,4,.000,,.667,2.6,0.6,0.3,0.4
27,Eric Bledsoe\bledser01,2014,2018,5,224,7534,1421,3168,294,864,1073,1322,172,1077,1345,354,111,761,533,4209,.449,.340,.812,33.6,18.8,4.8,6.0
