,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
61,Marquis Daniels\daniema01,2007,2009,3,173,4046,681,1531,51,218,246,348,172,542,308,168,51,261,297,1659,.445,.234,.707,23.4,9.6,3.1,1.8
62,Mel Daniels\danieme01,1969,1974,6,479,17756,3700,7666,2,29,1912,2815,2182,7643,900,56,249,1538,1764,9314,.483,.069,.679,37.1,19.4,16.0,1.9
63,Adrian Dantley\dantlad01,1978,1978,1,23,948,201,403,,,207,263,94,216,65,48,17,67,76,609,.499,,.787,41.2,26.5,9.4,2.8
64,Ollie Darden\dardeol01,1968,1970,2,103,2333,418,952,1,5,196,293,22,617,82,,,165,325,1033,.439,.200,.669,22.7,10.0,6.0,0.8
65,Antonio Davis\davisan01,1994,1999,6,420,10651,1287,2669,2,20,1210,1773,981,2788,282,206,377,552,1201,3786,.482,.100,.682,25.4,9.0,6.6,0.7
66,Brad Davis\davisbr01,1979,1980,2,27,276,25,51,0,0,16,23,1,18,48,17,2,14,29,66,.490,,.696,10.2,2.4,0.7,1.8
67,Dale Davis\davisda01,1992,2005,10,671,19814,2597,4786,0,3,1059,1993,2276,6006,572,468,904,811,1982,6253,.543,.000,.531,29.5,9.3,9.0,0.9
68,Johnny Davis\davisjo01,1979,1982,4,319,11083,2025,4469,13,102,1171,1441,300,765,1719,376,70,769,710,5234,.453,.127,.813,34.7,16.4,2.4,5.4
69,Jimmy Dawson\dawsoji01,1968,1968,1,21,288,46,133,1,7,25,43,,21,32,,,16,16,118,.346,.143,.581,13.7,5.6,1.0,1.5
70,Don Dee\deedo01,1969,1969,1,58,989,138,387,0,1,56,75,104,292,33,,,72,179,332,.357,.000,.747,17.1,5.7,5.0,0.6
71,Travis Diener\dienetr01,2008,2010,3,125,2100,234,615,121,356,76,88,32,203,377,64,9,76,150,665,.380,.340,.864,16.8,5.3,1.6,3.0
72,Byron Dinkins\dinkiby01,1991,1991,1,2,5,1,1,0,0,0,0,0,1,0,0,0,0,3,2,1.000,,,2.5,1.0,0.5,0.0
