,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
305,J.R. Reid\reidjr01,1993,1996,4,249,5145,774,1587,1,10,502,695,346,1122,198,164,93,347,710,2051,.488,.100,.722,20.7,8.2,4.5,0.8
306,Richard Rellford\rellfri01,1988,1988,1,4,42,5,8,0,0,6,8,2,7,1,0,3,4,3,16,.625,,.750,10.5,4.0,1.8,0.3
307,Kevin Restani\restake01,1980,1982,3,159,3110,570,1124,8,38,196,253,221,595,277,71,30,203,305,1344,.507,.211,.775,19.6,8.5,3.7,1.7
308,Jeremy Richardson\richaje01,2008,2008,1,5,29,3,7,2,5,2,2,0,1,1,1,0,0,5,10,.429,.400,1.000,5.8,2.0,0.2,0.2
309,Doc Rivers\riverdo01,1995,1996,2,138,2177,212,579,89,259,100,135,43,238,277,134,42,113,317,613,.366,.344,.741,15.8,4.4,1.7,2.0
310,Fred Roberts\roberfr01,1984,1985,2,101,1836,258,497,1,4,173,210,112,339,120,62,50,121,264,690,.519,.250,.824,18.2,6.8,3.4,1.2
311,Alvin Robertson\roberal01,1985,1989,5,389,12525,2570,5327,61,228,1084,1438,808,2087,2094,1128,204,1148,1336,6285,.482,.268,.754,32.2,16.2,5.4,5.4
312,David Robinson\robinda01,1990,2003,14,987,34271,7365,14221,25,100,6035,8201,3083,10497,2441,1388,2954,2417,2835,20790,.518,.250,.736,34.7,21.1,10.6,2.5
313,Glenn Robinson\robingl01,2005,2005,1,9,157,34,77,2,6,20,23,4,24,8,4,3,7,19,90,.442,.333,.870,17.4,10.0,2.7,0.9
314,Oliver Robinson\robinol01,1983,1983,1,35,147,35,97,1,11,30,45,6,17,21,4,2,13,18,101,.361,.091,.667,4.2,2.9,0.5,0.6
315,Dave Robisch\robisda01,1984,1984,1,4,37,4,8,0,0,0,0,2,8,1,0,0,1,8,8,.500,,,9.3,2.0,2.0,0.3
316,Dennis Rodman\rodmade01,1994,1995,2,128,4557,293,532,5,26,128,213,727,2190,281,83,55,236,388,719,.551,.192,.601,35.6,5.6,17.1,2.2
317,Malik Rose\rosema01,1998,2005,8,509,9373,1367,3024,8,48,1073,1452,883,2460,438,349,236,751,1281,3815,.452,.167,.739,18.4,7.5,4.8,0.9
