,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
106,Fennis Dembo\dembofe01,1989,1989,1,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,.333,.000,.800,2.4,1.2,0.7,0.2
107,Corky Devlin\devlico01,1956,1957,2,140,2777,390,1043,,,243,335,,317,279,,,,233,1023,.374,,.725,19.8,7.3,2.3,2.0
108,Henry Dickerson\dickehe01,1976,1976,1,17,112,9,29,,,10,16,3,3,8,2,1,,17,28,.310,,.625,6.6,1.6,0.2,0.5
109,Spencer Dinwiddie\dinwisp01,2015,2016,2,46,614,70,223,13,75,50,67,8,65,126,22,6,40,73,203,.314,.173,.746,13.3,4.4,1.4,2.7
110,Terry Dischinger\dischte01,1965,1972,6,452,11761,2167,4255,,,1178,1565,,2331,716,,,,1421,5512,.509,,.753,26.0,12.2,5.2,1.6
111,Juan Dixon\dixonju01,2008,2008,1,17,244,47,98,13,33,3,7,6,28,32,0,0,19,24,110,.480,.394,.429,14.4,6.5,1.6,1.9
112,Leon Douglas\douglle01,1977,1980,4,309,7616,1129,2332,0,1,681,1087,781,2273,375,170,246,514,1157,2939,.484,.000,.626,24.6,9.5,7.4,1.2
113,Sonny Dove\doveso01,1968,1969,2,57,398,69,175,,,36,62,,114,23,,,,76,174,.394,,.581,7.0,3.1,2.0,0.4
114,Danny Doyle\doyleda01,1963,1963,1,4,25,6,12,,,4,5,,8,3,,,,4,16,.500,,.800,6.3,4.0,2.0,0.8
115,Larry Drew\drewla01,1981,1981,1,76,1581,197,484,4,17,106,133,24,120,249,88,7,166,125,504,.407,.235,.797,20.8,6.6,1.6,3.3
116,Terry Driscoll\driscte01,1971,1971,1,69,1255,132,318,,,108,154,,402,54,,,,212,372,.415,,.701,18.2,5.4,5.8,0.8
117,Andre Drummond\drumman01,2013,2019,7,467,14192,2714,4995,6,37,931,2202,2209,6263,518,593,712,809,1453,6365,.543,.162,.423,30.4,13.6,13.4,1.1
118,Terry Duerod\duerote01,1980,1980,1,67,1331,282,598,15,53,45,66,29,98,117,41,11,79,102,624,.472,.283,.682,19.9,9.3,1.5,1.7
119,Bob Duffy\duffybo02,1964,1965,2,46,632,92,218,,,44,63,,58,79,,,,52,228,.422,,.698,13.7,5.0,1.3,1.7
120,Walter Dukes\dukeswa01,1958,1963,6,422,11515,1535,4179,,,1510,2154,,4986,515,,,,1776,4580,.367,,.701,27.3,10.9,11.8,1.2
121,Joe Dumars\dumarjo01,1986,1999,14,1018,35139,5994,13026,990,2592,3423,4059,671,2203,4612,902,83,2084,1826,16401,.460,.382,.843,34.5,16.1,2.2,4.5
122,Ronald Dupree\duprero01,2005,2008,3,67,569,72,158,1,2,32,56,39,112,29,12,11,25,72,177,.456,.500,.571,8.5,2.6,1.7,0.4
123,Bill Ebben\ebbenbi01,1958,1958,1,8,50,6,28,,,3,4,,8,4,,,,5,15,.214,,.750,6.3,1.9,1.0,0.5
124,Al Eberhard\eberhal01,1975,1978,4,220,4138,566,1308,,,358,449,270,760,175,158,35,23,544,1490,.433,,.797,18.8,6.8,3.5,0.8
125,Dike Eddleman\eddledi01,1952,1953,2,85,1859,284,800,,,151,276,,273,127,,,,279,719,.355,,.547,21.9,8.5,3.2,1.5
126,James Edwards\edwarja01,1988,1991,4,256,5768,1104,2243,1,7,658,904,293,930,182,48,103,353,827,2867,.492,.143,.728,22.5,11.2,3.6,0.7
127,Johnny Egan\eganjo01,1962,1964,3,128,2286,343,853,,,174,221,,207,332,,,,211,860,.402,,.787,17.9,6.7,1.6,2.6
128,Henry Ellenson\ellenhe01,2017,2018,2,57,475,76,210,30,95,29,37,18,122,27,6,1,32,28,211,.362,.316,.784,8.3,3.7,2.1,0.5
129,Sean Elliott\elliose01,1994,1994,1,73,2409,360,791,26,87,139,173,68,263,197,54,27,129,174,885,.455,.299,.803,33.0,12.1,3.6,2.7
130,Kim English\engliki01,2013,2013,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,.375,.280,.724,9.9,2.9,0.9,0.6
131,James Ennis\ennisja01,2018,2018,1,27,551,74,162,21,69,33,43,20,67,22,15,6,18,53,202,.457,.304,.767,20.4,7.5,2.5,0.8
132,Earl Evans\evansea01,1980,1980,1,36,381,63,140,7,18,24,42,26,75,37,14,1,36,64,157,.450,.389,.571,10.6,4.4,2.1,1.0
133,Maurice Evans\evansma01,2006,2006,1,80,1139,154,341,43,116,52,65,76,163,60,41,15,39,122,403,.452,.371,.800,14.2,5.0,2.0,0.8
134,Dick Farley\farledi01,1959,1959,1,70,1280,177,448,,,137,186,,195,124,,,,130,491,.395,,.737,18.3,7.0,2.8,1.8
135,Kay Felder\feldeka01,2018,2018,1,2,6,1,4,0,1,0,0,2,4,0,0,0,1,0,2,.250,.000,,3.0,1.0,2.0,0.0
