,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
72,Predrag Drobnjak\drobnpr01,2002,2003,2,146,3158,516,1203,30,87,146,188,186,539,137,68,69,116,289,1208,.429,.345,.777,21.6,8.3,3.7,0.9
73,Charles Dudley\dudlech01,1973,1973,1,12,99,10,23,,,14,16,,6,16,,,,15,34,.435,,.875,8.3,2.8,0.5,1.3
74,Ronald Dupree\duprero01,2008,2008,1,4,18,1,3,0,0,2,2,1,8,1,1,0,0,0,4,.333,,1.000,4.5,1.0,2.0,0.3
75,Kevin Durant\duranke01,2008,2016,9,641,24208,5912,12228,1143,3009,4599,5212,514,4518,2363,774,639,2083,1213,17566,.483,.380,.882,37.8,27.4,7.0,3.7
76,Craig Ehlo\ehlocr01,1997,1997,1,62,848,87,248,27,95,13,26,39,110,68,36,4,45,71,214,.351,.284,.500,13.7,3.5,1.8,1.1
77,Dale Ellis\ellisda01,1987,1999,7,451,15057,3611,7246,699,1674,1484,1878,704,1758,900,463,83,915,1073,9405,.498,.418,.790,33.4,20.9,3.9,2.0
78,Pervis Ellison\ellispe01,2001,2001,1,9,40,2,7,0,0,2,2,2,12,3,0,2,3,13,6,.286,,1.000,4.4,0.7,1.3,0.3
79,Francisco Elson\elsonfr01,2008,2008,1,22,279,30,88,0,1,6,13,17,65,8,6,6,17,34,66,.341,.000,.462,12.7,3.0,3.0,0.4
80,Reggie Evans\evansre01,2003,2006,4,262,5314,352,753,0,6,354,656,691,1865,148,174,41,262,646,1058,.467,.000,.540,20.3,4.0,7.1,0.6
81,Patrick Ewing\ewingpa01,2001,2001,1,79,2107,294,684,0,2,172,251,124,585,92,53,91,151,229,760,.430,.000,.685,26.7,9.6,7.4,1.2
82,Desmon Farmer\farmede01,2007,2007,1,8,32,5,15,2,8,1,1,0,1,9,1,0,1,2,13,.333,.250,1.000,4.0,1.6,0.1,1.1
83,Jim Farmer\farmeji01,1990,1990,1,38,400,89,203,8,27,57,80,17,43,25,17,1,27,44,243,.438,.296,.713,10.5,6.4,1.1,0.7
84,Noel Felix\felixno01,2006,2006,1,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,.240,.333,.625,6.8,1.5,1.1,0.2
85,Raymond Felton\feltora01,2018,2019,2,84,1397,230,569,81,236,42,51,26,163,207,49,17,79,93,583,.404,.343,.824,16.6,6.9,1.9,2.5
86,Terrance Ferguson\fergute01,2018,2019,2,65,840,73,185,41,131,10,12,24,55,20,25,10,14,92,197,.395,.313,.833,12.9,3.0,0.8,0.3
87,Derek Fisher\fishede01,2012,2014,3,125,2181,210,565,119,321,82,100,16,173,161,95,5,76,220,621,.372,.371,.820,17.4,5.0,1.4,1.3
88,Al Fleming\flemial01,1978,1978,1,20,97,15,31,,,10,17,13,30,7,0,5,16,16,40,.484,,.588,4.9,2.0,1.5,0.4
89,Alphonso Ford\fordal01,1994,1994,1,6,16,7,13,1,1,1,2,0,0,1,2,0,1,2,16,.538,1.000,.500,2.7,2.7,0.0,0.2
90,Jake Ford\fordja01,1971,1972,2,31,249,42,91,,,42,55,,20,35,,,,32,126,.462,,.764,8.0,4.1,0.6,1.1
91,Sherell Ford\fordsh01,1996,1996,1,28,139,30,80,4,25,26,34,12,24,5,8,1,6,27,90,.375,.160,.765,5.0,3.2,0.9,0.2
92,Joseph Forte\fortejo01,2003,2003,1,17,86,10,35,0,3,4,6,4,11,11,4,0,10,6,24,.286,.000,.667,5.1,1.4,0.6,0.6
93,Danny Fortson\fortsda01,2005,2007,3,99,1481,160,307,0,1,270,314,201,469,11,20,9,132,379,590,.521,.000,.860,15.0,6.0,4.7,0.1
94,Greg Foster\fostegr01,2000,2000,1,60,718,91,224,3,15,18,28,16,107,41,10,18,28,105,203,.406,.200,.643,12.0,3.4,1.8,0.7
95,Jim Fox\foxji01,1973,1975,3,227,6384,891,1826,,,625,770,372,2032,540,104,38,,654,2407,.488,,.812,28.1,10.6,9.0,2.4
96,Randy Foye\foyera01,2016,2016,1,27,572,52,149,25,81,22,27,8,51,49,13,13,28,48,151,.349,.309,.815,21.2,5.6,1.9,1.8
97,Richie Frahm\frahmri01,2004,2004,1,54,469,63,139,34,92,23,26,12,56,24,16,4,7,50,183,.453,.370,.885,8.7,3.4,1.0,0.4
98,Mickael Gelabale\gelabmi01,2007,2008,2,109,1704,191,421,27,84,80,100,75,231,89,34,31,76,139,489,.454,.321,.800,15.6,4.5,2.1,0.8
99,Paul George\georgpa01,2018,2019,2,83,3035,609,1430,256,651,358,436,75,471,275,171,39,227,252,1832,.426,.393,.821,36.6,22.1,5.7,3.3
100,Dick Gibbs\gibbsdi01,1974,1974,1,71,1528,302,700,,,162,201,91,223,79,39,18,,195,766,.431,,.806,21.5,10.8,3.1,1.1
101,Taj Gibson\gibsota01,2017,2017,1,23,487,89,179,1,1,28,39,38,103,13,14,15,28,40,207,.497,1.000,.718,21.2,9.0,4.5,0.6
102,Eddie Gill\gilled01,2008,2008,1,1,5,0,2,0,1,0,0,0,0,1,0,0,1,0,0,.000,.000,,5.0,0.0,0.0,1.0
103,Kendall Gill\gillke01,1994,1995,2,152,4560,821,1827,101,291,370,484,190,558,467,268,60,281,380,2113,.449,.347,.764,30.0,13.9,3.7,3.1
104,Herm Gilliam\gillihe01,1976,1976,1,81,1644,299,676,,,90,116,56,220,202,82,12,,139,688,.442,,.776,20.3,8.5,2.7,2.5
105,Andreas Glyniadakis\glynian01,2007,2007,1,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,.471,,.500,6.2,1.3,0.6,0.1
106,Ryan Gomes\gomesry01,2014,2014,1,5,34,3,8,0,2,0,0,0,4,1,0,0,1,5,6,.375,.000,,6.8,1.2,0.8,0.2
107,Greg Graham\grahagr01,1997,1997,1,28,197,29,80,9,31,26,40,2,13,11,12,1,10,12,93,.363,.290,.650,7.0,3.3,0.5,0.4
108,Horace Grant\grantho01,2000,2000,1,76,2688,266,599,0,4,80,111,167,591,188,55,60,61,192,612,.444,.000,.721,35.4,8.1,7.8,2.5
109,Jerami Grant\grantje01,2017,2019,3,163,3252,400,800,77,237,254,390,130,537,109,67,160,101,310,1131,.500,.325,.651,20.0,6.9,3.3,0.7
110,Leonard Gray\grayle01,1975,1977,3,166,5062,886,1866,,,289,391,265,983,421,165,73,,636,2061,.475,,.739,30.5,12.4,5.9,2.5
111,Jeff Green\greenje02,2008,2011,4,289,9984,1551,3505,277,819,732,949,390,1662,497,271,175,542,763,4111,.443,.338,.771,34.5,14.2,5.8,1.7
112,Mike Green\greenmi01,1977,1978,2,85,2178,333,745,,,187,266,213,558,130,51,142,22,227,853,.447,,.703,25.6,10.0,6.6,1.5
113,John Greig\greigjo01,1983,1983,1,9,26,7,13,0,0,5,6,2,6,0,0,1,2,4,19,.538,,.833,2.9,2.1,0.7,0.0
114,Adrian Griffin\griffad01,2008,2008,1,13,85,6,16,0,0,2,2,9,22,5,5,1,5,8,14,.375,,1.000,6.5,1.1,1.7,0.4
115,Al Hairston\hairsal01,1969,1970,2,42,294,41,122,,,9,15,,41,44,,,,38,91,.336,,.600,7.0,2.2,1.0,1.0
116,Daniel Hamilton\hamilda02,2018,2018,1,6,28,5,11,2,5,0,0,0,5,8,1,0,2,2,12,.455,.400,,4.7,2.0,0.8,1.3
117,Lars Hansen\hansela01,1979,1979,1,15,205,29,57,,,18,31,22,59,14,1,1,9,28,76,.509,,.581,13.7,5.1,3.9,0.9
118,Bill Hanzlik\hanzlbi01,1981,1982,2,155,3233,305,646,1,9,257,326,166,419,294,139,50,190,418,868,.472,.111,.788,20.9,5.6,2.7,1.9
119,James Harden\hardeja01,2010,2012,3,220,5873,840,1891,320,864,795,952,119,751,542,234,59,349,557,2795,.444,.370,.835,26.7,12.7,3.4,2.5
120,Art Harris\harriar01,1969,1970,2,85,2734,444,1127,,,165,260,,320,278,,,,337,1053,.394,,.635,32.2,12.4,3.8,3.3
121,Antonio Harvey\harvean01,1997,2002,2,11,73,9,23,0,0,6,8,7,19,6,1,7,4,16,24,.391,,.750,6.6,2.2,1.7,0.5
122,Joe Hassett\hassejo01,1978,1979,2,103,867,191,416,,,33,35,27,81,83,35,4,66,103,415,.459,,.943,8.4,4.0,0.8,0.8
123,Steve Hawes\hawesst01,1983,1984,2,110,1709,186,383,4,11,84,110,78,353,135,33,22,86,223,460,.486,.364,.764,15.5,4.2,3.2,1.2
124,Hersey Hawkins\hawkihe01,1996,1999,4,296,9819,1263,2775,469,1216,803,916,300,1152,812,536,61,476,561,3798,.455,.386,.877,33.2,12.8,3.9,2.7
125,Steve Hayes\hayesst01,1984,1984,1,43,253,26,50,0,0,5,14,19,62,13,5,18,13,52,57,.520,,.357,5.9,1.3,1.4,0.3
126,Lazar Hayward\haywala01,2012,2012,1,26,141,13,38,4,14,7,12,2,16,4,3,1,9,18,37,.342,.286,.583,5.4,1.4,0.6,0.2
127,Spencer Haywood\haywosp01,1971,1975,5,326,13156,3168,6849,,,1795,2207,516,3954,769,119,214,,876,8131,.463,,.813,40.4,24.9,12.1,2.4
128,Walt Hazzard\abdulma01,1968,1974,2,128,3237,809,1842,,,462,598,18,389,615,26,6,,324,2080,.439,,.773,25.3,16.3,3.0,4.8
129,Gar Heard\heardga01,1971,1973,3,126,2543,346,882,,,162,254,,776,102,,,,256,854,.392,,.638,20.2,6.8,6.2,0.8
130,Gerald Henderson\hendege01,1985,1987,3,167,5371,886,1841,27,93,401,496,166,386,1078,284,20,430,443,2200,.481,.290,.808,32.2,13.2,2.3,6.5
131,Rod Higgins\higgiro01,1986,1986,1,12,94,9,27,1,4,3,5,3,12,6,2,1,4,11,22,.333,.250,.600,7.8,1.8,1.0,0.5
132,Armond Hill\hillar01,1981,1982,2,72,1357,97,256,0,6,116,145,37,133,199,45,10,83,184,310,.379,.000,.800,18.8,4.3,1.8,2.8
133,Steven Hill\hillst01,2009,2009,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,,,2.0,2.0,3.0,0.0
134,Byron Houston\houstby01,1995,1995,1,39,258,49,107,6,22,28,38,20,55,6,13,5,20,50,132,.458,.273,.737,6.6,3.4,1.4,0.2
135,Stephen Howard\howarst01,1998,1998,1,13,53,8,21,0,0,9,18,6,12,3,3,1,6,13,25,.381,,.500,4.1,1.9,0.9,0.2
136,Josh Huestis\huestjo01,2016,2018,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,.346,.312,.240,14.1,2.5,2.4,0.3
137,John Hummer\hummejo01,1974,1976,3,107,1865,194,434,,,76,188,120,427,157,39,37,,223,464,.447,,.404,17.4,4.3,4.0,1.5
138,Serge Ibaka\ibakase01,2010,2016,7,524,15099,2558,4888,182,512,756,1015,1267,3875,309,224,1300,671,1491,6054,.523,.355,.745,28.8,11.6,7.4,0.6
139,Ersan Ilyasova\ilyaser01,2017,2017,1,3,62,6,16,3,12,0,0,2,16,1,3,1,4,5,15,.375,.250,,20.7,5.0,5.3,0.3
140,Royal Ivey\iveyro01,2011,2014,3,61,514,42,113,25,70,3,10,3,41,17,20,1,14,54,112,.372,.357,.300,8.4,1.8,0.7,0.3
141,Reggie Jackson\jacksre01,2012,2015,4,245,5169,852,1976,164,569,334,383,106,733,738,181,28,348,351,2202,.431,.288,.872,21.1,9.0,3.0,3.0
142,Wardell Jackson\jackswa01,1975,1975,1,56,939,96,242,,,51,71,53,133,30,26,5,,126,243,.397,,.718,16.8,4.3,2.4,0.5
143,Jerome James\jamesje01,2002,2005,4,252,4035,548,1106,0,2,197,317,326,919,102,80,339,319,799,1293,.495,.000,.621,16.0,5.1,3.6,0.4
144,Grant Jerrett\jerregr01,2015,2015,1,5,25,3,17,1,13,0,0,1,4,1,0,2,2,7,7,.176,.077,,5.0,1.4,0.8,0.2
145,Avery Johnson\johnsav01,1989,1990,2,96,866,84,225,2,13,38,56,32,67,235,47,4,66,89,208,.373,.154,.679,9.0,2.2,0.7,2.4
146,Clay Johnson\johnscl02,1984,1984,1,25,176,20,50,1,1,14,22,6,12,14,8,2,12,24,55,.400,1.000,.636,7.0,2.2,0.5,0.6
147,Clemon Johnson\johnscl01,1987,1988,2,152,1774,137,283,0,2,92,142,172,451,38,34,66,65,241,366,.484,.000,.648,11.7,2.4,3.0,0.3
148,Dakari Johnson\johnsda04,2018,2018,1,31,161,22,39,0,0,11,20,16,34,8,6,8,3,27,55,.564,,.550,5.2,1.8,1.1,0.3
149,Dennis Johnson\johnsde01,1977,1980,4,323,9530,1708,3918,12,58,1162,1572,632,1384,965,485,287,582,910,4590,.436,.207,.739,29.5,14.2,4.3,3.0
150,Eddie Johnson\johnsed02,1987,1987,1,24,508,85,186,5,15,42,55,11,46,115,12,1,41,36,217,.457,.333,.764,21.2,9.0,1.9,4.8
151,Eddie Johnson\johnsed03,1991,1993,3,229,6008,1452,3091,77,262,733,823,333,789,390,140,22,362,516,3714,.470,.294,.891,26.2,16.2,3.4,1.7
152,Ervin Johnson\johnser02,1994,1996,3,190,2706,309,650,1,4,143,219,278,840,71,67,218,176,453,762,.475,.250,.653,14.2,4.0,4.4,0.4
153,George Johnson\johnsge02,1986,1986,1,41,264,12,23,0,0,11,16,26,60,13,6,37,14,46,35,.522,,.688,6.4,0.9,1.5,0.3
154,John Johnson\johnsjo01,1978,1982,5,333,9242,1469,3324,0,1,670,859,528,1525,1333,239,107,914,874,3608,.442,.000,.780,27.8,10.8,4.6,4.0
155,Steve Johnson\johnsst03,1990,1990,1,21,242,48,90,0,0,21,35,19,50,16,3,5,25,52,117,.533,,.600,11.5,5.6,2.4,0.8
156,Vinnie Johnson\johnsvi01,1980,1982,3,126,2740,473,922,1,7,254,321,219,436,406,103,26,263,246,1201,.513,.143,.791,21.7,9.5,3.5,3.2
157,Perry Jones\jonespe01,2013,2015,3,143,1675,195,464,36,123,62,94,46,252,54,36,33,60,135,488,.420,.293,.660,11.7,3.4,1.8,0.4
158,Enes Kanter\kanteen01,2015,2017,3,180,4063,1012,1802,18,63,514,652,574,1433,129,71,84,290,395,2556,.562,.286,.788,22.6,14.2,8.0,0.7
159,Bob Kauffman\kauffbo01,1969,1969,1,82,1660,219,496,,,203,289,,484,83,,,,252,641,.442,,.702,20.2,7.8,5.9,1.0
160,Greg Kelser\kelsegr01,1982,1983,2,129,2065,328,635,0,3,251,376,225,557,142,65,49,211,342,907,.517,.000,.668,16.0,7.0,4.3,1.1
