,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
11,Don Anielak\anieldo01,1955,1955,1,1,10,0,4,,,3,4,,2,0,,,,0,3,.000,,.750,10.0,3.0,2.0,0.0
12,Thanasis Antetokounmpo\antetth01,2016,2016,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0
13,Carmelo Anthony\anthoca01,2011,2017,7,412,14813,3627,8195,762,2067,2170,2613,640,2865,1328,396,211,999,1140,10186,.443,.369,.830,36.0,24.7,7.0,3.2
14,Greg Anthony\anthogr01,1992,1995,4,293,6146,688,1718,116,400,414,561,125,559,1237,336,41,386,573,1906,.400,.290,.738,21.0,6.5,1.9,4.2
15,Trevor Ariza\arizatr01,2005,2006,2,116,2091,233,535,4,16,163,251,138,379,131,113,27,119,228,633,.436,.250,.649,18.0,5.5,3.3,1.1
16,Dick Atha\athadi01,1956,1956,1,25,288,36,88,,,21,27,,42,32,,,,39,93,.409,,.778,11.5,3.7,1.7,1.3
17,Jim Baechtold\baechji01,1954,1957,4,257,6363,875,2255,,,712,895,,790,531,,,,592,2462,.388,,.796,24.8,9.6,3.1,2.1
18,James Bailey\baileja01,1985,1986,2,122,2542,358,792,0,5,202,275,224,678,89,63,90,199,493,918,.452,.000,.735,20.8,7.5,5.6,0.7
19,Ron Baker\bakerro01,2017,2019,3,86,1319,103,285,34,126,51,73,17,132,161,62,14,76,120,291,.361,.270,.699,15.3,3.4,1.5,1.9
20,Vin Baker\bakervi01,2004,2005,2,41,504,53,137,1,3,39,60,53,107,21,9,13,40,93,146,.387,.333,.650,12.3,3.6,2.6,0.5
21,Renaldo Balkman\balkmre01,2007,2012,4,150,2149,247,497,9,50,100,196,187,539,89,106,77,93,296,603,.497,.180,.510,14.3,4.0,3.6,0.6
22,Ken Bannister\bannike01,1985,1986,2,145,2809,444,924,0,1,222,441,197,652,81,80,64,270,487,1110,.481,.000,.503,19.4,7.7,4.5,0.6
23,Andrea Bargnani\bargnan01,2014,2015,2,71,2042,386,863,45,149,171,209,101,349,91,16,79,100,153,988,.447,.302,.818,28.8,13.9,4.9,1.3
24,Tom Barker\barketo01,1979,1979,1,22,329,44,102,,,14,20,31,83,9,6,7,20,45,102,.431,,.700,15.0,4.6,3.8,0.4
25,Jim Barnes\barneji01,1965,1966,2,82,2849,494,1160,,,281,421,,801,102,,,,345,1269,.426,,.667,34.7,15.5,9.8,1.2
26,Matt Barnes\barnema02,2006,2006,1,6,93,11,30,1,4,3,4,7,24,6,4,0,6,8,26,.367,.250,.750,15.5,4.3,4.0,1.0
27,Dick Barnett\barnedi01,1966,1974,9,604,18442,3742,8065,,,1958,2594,1,1682,1730,1,0,,1616,9442,.464,,.755,30.5,15.6,2.8,2.9
28,Jim Barnett\barneji02,1975,1976,2,99,1564,234,543,,,133,164,63,139,129,36,3,,137,601,.431,,.811,15.8,6.1,1.4,1.3
29,Earl Barron\barroea01,2010,2013,2,8,269,35,82,0,0,23,31,37,95,10,4,5,12,25,93,.427,,.742,33.6,11.6,11.9,1.3
30,Ed Bartels\barteed01,1950,1950,1,2,,1,4,,,2,3,,,0,,,,2,4,.250,,.667,,2.0,,0.0
