,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Jeff Adrien\adrieje01,2015,2015,1,17,215,19,44,0,0,22,38,23,77,15,4,9,9,30,60,.432,,.579,12.6,3.5,4.5,0.9
2,Maurice Ager\agerma01,2011,2011,1,4,29,6,11,3,4,0,0,0,2,1,1,0,4,4,15,.545,.750,,7.3,3.8,0.5,0.3
3,Cole Aldrich\aldrico01,2017,2018,2,83,580,50,101,0,0,17,28,54,173,28,27,24,18,96,117,.495,,.607,7.0,1.4,2.1,0.3
4,Jerome Allen\allenje01,1996,1996,1,41,362,36,105,10,33,26,36,5,25,49,21,5,34,42,108,.343,.303,.722,8.8,2.6,0.6,1.2
5,Lou Amundson\amundlo01,2013,2013,1,20,161,14,38,0,0,4,20,23,47,3,7,6,11,26,32,.368,,.200,8.1,1.6,2.4,0.2
6,William Avery\averywi01,2000,2002,3,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,.330,.255,.714,8.5,2.7,0.7,1.4
7,Thurl Bailey\baileth01,1992,1994,3,220,4350,764,1636,0,3,409,506,218,837,174,70,207,205,310,1937,.467,.000,.808,19.8,8.8,3.8,0.8
8,Marcus Banks\banksma01,2006,2006,1,40,1228,186,388,16,44,91,117,19,116,188,47,11,96,124,479,.479,.364,.778,30.7,12.0,2.9,4.7
9,J.J. Barea\bareajo01,2012,2014,3,194,4216,737,1832,223,654,260,332,64,475,829,79,0,373,321,1957,.402,.341,.783,21.7,10.1,2.4,4.3
